"","borough","neighborhood","building class category","tax class at present","block","lot","ease-ment","building class at present","address","apartment number","zip code","residential units","commercial units","total units","land square feet","gross square feet","year built","tax class at time of sale","building class at time of sale","sale price","sale date","sale.price.n","land.sqft","year.built","outliers"
"39",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6361,11," ","A5","71 BAY 10TH   STREET                     ","            ",11228,1,0,1,2900,1660,1930,1,"A5",829000,2016-04-05,829000,2900,1930,0
"40",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6364,72," ","A5","68 BAY 14TH STREET                       ","            ",11214,1,0,1,1950,972,1950,1,"A5",790000,2016-06-21,790000,1950,1950,0
"41",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6371,79," ","A5","8668 19TH AVENUE                         ","            ",11214,1,0,1,2223,2520,1930,1,"A5",788000,2016-03-31,788000,2223,1930,0
"42",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6374,67," ","S1","8642 20TH AVENUE                         ","            ",11214,1,1,2,1740,3240,1925,1,"S1",1090000,2016-10-24,1090000,1740,1925,0
"44",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6394,5," ","A5","160 BAY 10TH STREET                      ","            ",11228,1,0,1,2469,1836,1940,1,"A5",920000,2016-02-04,920000,2469,1940,0
"47",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6401,18," ","A5","8739 BAY 16TH STREET                     ","            ",11214,1,0,1,2417,1462,1925,1,"A5",839000,2016-07-11,839000,2417,1925,0
"48",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6401,19," ","A5","8733 BAY 16TH   STREET                   ","            ",11214,1,0,1,2417,2244,1925,1,"A5",854000,2016-02-10,854000,2417,1925,0
"50",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6402,31," ","A1","8716 18TH   AVENUE                       ","            ",11214,1,0,1,2743,2756,1924,1,"A1",750000,2016-07-25,750000,2743,1924,0
"51",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6409,36," ","A9","96 BAY 25TH STREET                       ","            ",11214,1,0,1,1440,1281,1915,1,"A9",699000,2016-02-23,699000,1440,1915,0
"52",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6414,36," ","A1","91 BAY 29TH STREET                       ","            ",11214,1,0,1,3867,2739,1910,1,"A1",950000,2016-09-23,950000,3867,1910,0
"53",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6425,15," ","A5","231 BAY 7TH STREET                       ","            ",11228,1,0,1,2191,1708,1935,1,"A5",699000,2016-05-13,699000,2191,1935,0
"54",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6427,22," ","A1","8801 15TH AVENUE                         ","            ",11228,1,0,1,3577,1600,1920,1,"A1",1050000,2016-03-22,1050000,3577,1920,0
"55",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6429,8," ","A5","239 BAY 11TH STREET                      ","            ",11228,1,0,1,1800,1296,1935,1,"A5",738000,2016-03-22,738000,1800,1935,0
"56",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6429,57," ","A5","8806 16TH AVENUE                         ","            ",11214,1,0,1,1655,1156,1951,1,"A5",680000,2016-08-02,680000,1655,1951,0
"57",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6442,131," ","S1","2012 BATH AVENUE                         ","            ",11214,1,1,2,709,1178,1925,1,"S1",638000,2016-09-20,638000,709,1925,0
"59",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6445,31," ","S1","2108 BATH AVENUE                         ","            ",11214,1,1,2,998,1530,1905,1,"S1",880000,2016-08-01,880000,998,1905,0
"60",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6445,130," ","S1","2106 BATH AVENUE                         ","            ",11214,1,1,2,1056,1530,1905,1,"S1",829000,2016-04-29,829000,1056,1905,0
"61",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6445,131," ","S1","2110 BATH AVENUE                         ","            ",11214,1,1,2,978,1530,1905,1,"S1",880000,2016-04-15,880000,978,1905,0
"62",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6447,29," ","S1","2156 BATH AVENUE                         ","            ",11214,1,1,2,1933,2201,1920,1,"S1",950000,2016-03-14,950000,1933,1920,0
"63",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6459,58," ","A1","8886 15TH   AVENUE                       ","            ",11228,1,0,1,2578,1496,1950,1,"A1",930000,2016-07-20,930000,2578,1950,0
"69",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6461,318," ","A5","312 BAY 13 STREET                        ","            ",11214,1,0,1,1653,928,1945,1,"A5",670000,2016-04-29,670000,1653,1945,0
"71",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6466,85," ","A5","248 BAY 23RD   STREET                    ","            ",11214,1,0,1,5940,1320,1945,1,"A5",920000,2016-03-08,920000,5940,1945,0
"72",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6357,46," ","B1","24 BAY 7 STREET                          ","            ",11228,2,0,2,2320,2160,1930,1,"B1",1150000,2016-10-11,1150000,2320,1930,0
"73",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6357,51," ","B1","38 BAY 7TH   STREET                      ","            ",11228,2,0,2,2320,2160,1930,1,"B1",1113750,2016-02-24,1113750,2320,1930,0
"75",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6357,56," ","B1","52 BAY 7TH   STREET                      ","            ",11228,2,0,2,2320,2160,1930,1,"B1",452500,2016-12-20,452500,2320,1930,0
"80",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6360,26," ","B1","8633 15TH AVENUE                         ","            ",11228,2,0,2,2312,2160,1930,1,"B1",999000,2016-09-01,999000,2312,1930,0
"81",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6360,39," ","S2","1508 86TH   STREET                       ","            ",11228,2,1,3,1917,2496,1931,1,"S2",1150000,2016-07-12,1150000,1917,1931,0
"82",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6360,57," ","B3","34 BAY 10TH   STREET                     ","            ",11228,2,0,2,1547,1428,1930,1,"B3",850000,2016-02-23,850000,1547,1930,0
"83",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6360,59," ","B3","40 BAY 10TH   STREET                     ","            ",11228,2,0,2,1547,1428,1930,1,"B3",720000,2016-03-21,720000,1547,1930,0
"84",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6360,123," ","B3","8643 15TH AVENUE                         ","            ",11228,2,0,2,2513,1428,1930,1,"B3",740000,2016-10-24,740000,2513,1930,0
"85",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6361,25," ","B3","37 BAY 10TH STREET                       ","            ",11228,2,0,2,2103,1622,1930,1,"B3",868600,2016-06-06,868600,2103,1930,0
"86",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6361,30," ","B3","23 BAY 10TH   STREET                     ","            ",11228,2,0,2,2103,1622,1930,1,"B3",928000,2016-10-26,928000,2103,1930,0
"88",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6361,61," ","B1","50 BAY 11TH   STREET                     ","            ",11228,2,0,2,2320,2160,1930,1,"B1",480000,2016-06-29,480000,2320,1930,0
"90",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6364,23," ","B1","43 BAY 13TH STREET                       ","            ",11214,2,0,2,2167,1920,1899,1,"B1",880000,2016-03-18,880000,2167,1899,0
"91",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6364,52," ","B1","18 BAY 14TH   STREET                     ","            ",11214,2,0,2,3033,2480,1930,1,"B1",1120075,2016-01-12,1120075,3033,1930,0
"92",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6364,59," ","B9","38 BAY 14TH STREET                       ","            ",11214,2,0,2,2140,1401,1960,1,"B9",825000,2016-02-24,825000,2140,1960,0
"95",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6367,71," ","B3","58 BAY 17TH   STREET                     ","            ",11214,2,0,2,4833,1992,1899,1,"B3",1350000,2016-09-30,1350000,4833,1899,0
"96",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6367,74," ","B2","64 BAY 17TH STREET                       ","            ",11214,2,0,2,4833,2613,1899,1,"B2",1480000,2016-01-28,1480000,4833,1899,0
"97",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6367,76," ","B2","70 BAY 17TH   STREET                     ","            ",11214,2,0,2,4833,2244,1910,1,"B2",714750,2016-07-29,714750,4833,1910,0
"98",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6368,1," ","B2","75 BAY 17TH STREET                       ","            ",11214,2,0,2,6863,2868,1915,1,"B2",1900000,2016-06-08,1900000,6863,1915,0
"103",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6370,64," ","B2","24 BAY 20TH   STREET                     ","            ",11214,2,0,2,2417,1584,1930,1,"B2",842088,2016-03-02,842088,2417,1930,0
"106",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6372,8," ","B1","8703 19TH   AVENUE                       ","            ",11214,2,0,2,1540,3162,1920,1,"B1",1030000,2016-12-16,1030000,1540,1920,0
"116",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6394,63," ","B3","140 BAY 10TH STREET                      ","            ",11228,2,0,2,2920,1764,1920,1,"B3",1300000,2016-11-30,1300000,2920,1920,0
"119",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6395,37," ","B3","95 BAY 10TH STREET                       ","            ",11228,2,0,2,3253,2660,1925,1,"B3",1400000,2016-09-14,1400000,3253,1925,0
"121",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6395,62," ","B9","132 BAY 11TH STREET                      ","            ",11228,2,0,2,1925,2018,1955,1,"B9",988000,2016-06-22,988000,1925,1955,0
"122",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6396,37," ","B1","1550 BENSON AVENUE                       ","            ",11228,2,0,2,1800,2268,1930,1,"B1",1080000,2016-12-20,1080000,1800,1930,0
"126",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6397,51," ","B3","98 BAY 13TH STREET                       ","            ",11214,2,0,2,1950,1587,1920,1,"B3",915000,2016-11-01,915000,1950,1920,0
"127",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6399,20," ","B2","133 BAY 14TH                             ","            ",11214,2,0,2,2708,2108,1925,1,"B2",893000,2016-05-31,893000,2708,1925,0
"130",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6401,33," ","B9","44 RUTHERFORD PLACE                      ","            ",11214,2,0,2,1558,2365,1965,1,"B9",995000,2016-09-22,995000,1558,1965,0
"131",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6402,26," ","B3","111 BAY 17TH STREET                      ","            ",11214,2,0,2,1659,850,1910,1,"B3",680000,2016-03-01,680000,1659,1910,0
"134",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6410,30," ","B3","103 BAY 25TH   STREET                    ","            ",11214,2,0,2,2900,2080,1925,1,"B3",1120000,2016-04-08,1120000,2900,1925,0
"137",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6414,29," ","B3","111 BAY 29TH   STREET                    ","            ",11214,2,0,2,3383,2464,1910,1,"B3",1150000,2016-04-29,1150000,3383,1910,0
"138",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6424,22," ","B9","8815 14TH AVENUE                         ","            ",11228,2,0,2,2070,1802,1935,1,"B9",938000,2016-09-09,938000,2070,1935,0
"140",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6424,41," ","B1","8771 14TH   AVENUE                       ","            ",11228,2,0,2,2000,1812,1935,1,"B1",975000,2016-07-13,975000,2000,1935,0
"141",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6424,54," ","B2","190 BAY 7TH                              ","            ",11228,2,0,2,1933,2048,1935,1,"B2",999000,2016-09-19,999000,1933,1935,0
"143",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6425,25," ","B9","207 BAY 7TH STREET                       ","            ",11228,2,0,2,1933,2267,1935,1,"B9",1090000,2016-07-11,1090000,1933,1935,0
"144",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6426,27," ","B3","201 BAY 8TH STREET                       ","            ",11228,2,0,2,1933,2354,1945,1,"B3",1100000,2016-06-28,1100000,1933,1945,0
"149",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6429,13," ","B1","229 BAY 11TH STREET                      ","            ",11228,2,0,2,1983,2200,1935,1,"B1",1170000,2016-12-23,1170000,1983,1935,0
"152",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6430,17," ","B9","8817 16TH AVENUE                         ","            ",11214,2,0,2,2060,2620,1950,1,"B9",775000,2016-02-12,775000,2060,1950,0
"153",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6430,28," ","B9","8793 16 AVENUE                           ","            ",11214,2,0,2,2153,2614,1965,1,"B9",1300000,2016-10-17,1300000,2153,1965,0
"157",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6433,25," ","B3","8799 17TH   AVENUE                       ","            ",11214,2,0,2,1837,1470,1920,1,"B3",340000,2016-06-19,340000,1837,1920,0
"159",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6434,2," ","B3","1749 CROPSEY AVENUE                      ","            ",11214,2,0,2,1524,1740,1930,1,"B3",550000,2016-08-24,550000,1524,1930,0
"160",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6434,2," ","B3","1749 CROPSEY AVENUE                      ","            ",11214,2,0,2,1524,1740,1930,1,"B3",499950,2016-06-13,499950,1524,1930,0
"161",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6437,37," ","S2","1840 BATH AVENUE                         ","            ",11214,2,1,3,1353,3200,1920,1,"S2",1460000,2016-08-24,1460000,1353,1920,0
"164",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6459,123," ","B9","297 BAY 8TH   STREET                     ","            ",11228,2,0,2,1442,1550,1925,1,"B9",830000,2016-10-06,830000,1442,1925,0
"165",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6460,81," ","B1","331 BAY 10TH STREET                      ","            ",11228,2,0,2,2707,1729,1955,1,"B1",840000,2016-01-29,840000,2707,1955,0
"166",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6460,167," ","B1","321 BAY 11TH   STREET                    ","            ",11228,2,0,2,2301,2128,1950,1,"B1",930000,2016-03-18,930000,2301,1950,0
"172",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6461,251," ","B3","288 BAY 13TH   STREET                    ","            ",11214,2,0,2,1649,928,1945,1,"B3",676000,2016-06-09,676000,1649,1945,0
"175",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6463,68," ","B1","8874 18TH   AVENUE                       ","            ",11214,2,0,2,1688,1320,1950,1,"B1",845000,2016-03-14,845000,1688,1950,0
"176",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6464,166," ","B3","8888 19TH AVENUE                         ","            ",11214,2,0,2,1547,1584,1940,1,"B3",788000,2016-03-23,788000,1547,1940,0
"177",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6464,168," ","B3","8892 19TH AVENUE                         ","            ",11214,2,0,2,2127,1610,1940,1,"B3",885000,2016-09-29,885000,2127,1940,0
"178",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6465,25," ","B9","1936 20TH DRIVE                          ","            ",11214,2,0,2,2002,1652,1940,1,"B9",920000,2016-05-25,920000,2002,1940,0
"179",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6465,29," ","B9","1948 20TH   DRIVE                        ","            ",11214,2,0,2,2090,1652,1940,1,"B9",863000,2016-03-28,863000,2090,1940,0
"185",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6468,38," ","B9","1419 SHORE PARKWAY                       ","            ",11214,2,0,2,2090,1993,1945,1,"B9",165000,2016-10-07,165000,2090,1945,0
"187",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6468,69," ","B1","1920 19TH   LANE                         ","            ",11214,2,0,2,1520,1584,1945,1,"B1",780000,2016-09-28,780000,1520,1945,0
"188",3,"BATH BEACH               ","02  TWO FAMILY DWELLINGS                    ","1.000000",6480,35," ","B9","8982 15TH AVENUE                         ","            ",11228,2,0,2,1966,2070,1950,1,"B9",960000,2016-12-08,960000,1966,1950,0
"191",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6365,68," ","C0","8660 17TH   AVENUE                       ","            ",11214,3,0,3,2094,2352,1920,1,"C0",985000,2016-01-19,985000,2094,1920,0
"198",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6371,44," ","C0","11 BAY 20TH   STREET                     ","            ",11214,3,0,3,5800,4096,1930,1,"C0",1900000,2016-04-29,1900000,5800,1930,0
"200",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6372,24," ","C0","8665 19TH   AVENUE                       ","            ",11214,3,0,3,2658,3120,2009,1,"C0",1830000,2016-04-07,1830000,2658,2009,0
"201",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6372,42," ","C0","8619 19TH   AVENUE                       ","            ",11214,3,0,3,3867,3180,1930,1,"C0",1610000,2016-08-02,1610000,3867,1930,0
"203",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6372,86," ","C0","84 BAY 22ND STREET                       ","            ",11214,3,0,3,2525,3722,1940,1,"C0",1250000,2016-02-17,1250000,2525,1940,0
"204",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6372,168," ","C0","38 BAY 22ND STREET                       ","            ",11214,3,0,3,1837,2821,1965,1,"C0",1323000,2016-01-27,1323000,1837,1965,0
"205",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6373,64," ","C0","28 BAY 23RD   STREET                     ","            ",11214,3,0,3,3870,3643,1930,1,"C0",1400000,2016-09-08,1400000,3870,1930,0
"207",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6374,62," ","C0","8634 20TH   AVENUE                       ","            ",11214,3,0,3,3867,3692,1920,1,"C0",1235000,2016-06-28,1235000,3867,1920,0
"208",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6374,79," ","C0","8660 20TH   AVENUE                       ","            ",11214,3,0,3,2127,2722,1970,1,"C0",1210000,2016-01-19,1210000,2127,1970,0
"212",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","2A",6379,12," ","C2","71 BAY 28TH   STREET                     ","            ",11214,6,0,6,5800,7242,2014,1,"C0",1616981,2016-11-10,1616981,5800,2014,0
"213",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","  ",6379,14," ","  ","67 BAY 28TH   STREET                     ","            ",11214,0,0,0,0,0,0,1,"C0",1596616,2016-10-25,1596616,0,0,0
"214",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6392,48," ","C0","98 BAY 8TH   STREET                      ","            ",11228,3,0,3,2248,2970,1930,1,"C0",915000,2016-04-29,915000,2248,1930,0
"216",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6393,38," ","C0","91 BAY 8TH   STREET                      ","            ",11228,3,0,3,2296,2160,1940,1,"C0",985000,2016-09-20,985000,2296,1940,0
"217",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6393,51," ","C0","8710 15TH AVENUE                         ","            ",11228,3,0,3,2296,2160,1940,1,"C0",473000,2016-05-24,473000,2296,1940,0
"218",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6394,18," ","C0","8739 15TH AVENUE                         ","            ",11228,3,0,3,3000,3025,1955,1,"C0",1400000,2016-02-24,1400000,3000,1955,0
"219",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6395,3," ","C0","1543 BATH AVENUE                         ","            ",11228,3,0,3,2500,2400,1930,1,"C0",1150000,2016-12-15,1150000,2500,1930,0
"222",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6400,59," ","C0","8693 17 AVE                              ","            ",11214,3,0,3,3770,2592,1905,1,"C0",1200000,2016-04-21,1200000,3770,1905,0
"225",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6410,25," ","C0","113 BAY 25TH   STREET                    ","            ",11214,3,0,3,2900,2408,1920,1,"C0",1380000,2016-02-26,1380000,2900,1920,0
"226",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6412,27," ","C0","8709 21ST   AVENUE                       ","            ",11214,3,0,3,2900,3496,1975,1,"C0",1578000,2016-04-11,1578000,2900,1975,0
"227",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6412,156," ","C0","122 BAY 28TH   STREET                    ","            ",11214,3,0,3,2900,3900,2008,1,"C0",1210950,2016-03-18,1210950,2900,2008,0
"231",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6432,48," ","C0","8794 17TH AVENUE                         ","            ",11214,3,0,3,8125,3527,1925,1,"C0",2050000,2016-06-03,2050000,8125,1925,0
"233",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6438,48," ","C0","8794 19TH   AVENUE                       ","            ",11214,3,0,3,2631,3105,1901,1,"C0",1168000,2016-01-29,1168000,2631,1901,0
"234",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6440,7," ","C0","1931 CROPSEY AVE                         ","            ",11214,3,0,3,2137,3013,1925,1,"C0",1089000,2016-11-03,1089000,2137,1925,0
"237",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6443,42," ","C0","184 BAY 26TH   STREET                    ","            ",11214,3,0,3,2900,2624,1925,1,"C0",1190000,2016-01-12,1190000,2900,1925,0
"238",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6443,50," ","C0","202 BAY 26TH   STREET                    ","            ",11214,3,0,3,2352,2510,1950,1,"C0",1150000,2016-12-28,1150000,2352,1950,0
"239",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6445,7," ","C0","2111 CROPSEY AVENUE                      ","            ",11214,3,0,3,3383,3336,1905,1,"C0",1100000,2016-05-31,1100000,3383,1905,0
"240",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6445,47," ","C0","198 BAY 28TH STREET                      ","            ",11214,3,0,3,2900,3085,1975,1,"C0",1490000,2016-05-24,1490000,2900,1975,0
"243",3,"BATH BEACH               ","03  THREE FAMILY DWELLINGS                  ","1.000000",6468,43," ","C0","1407 SHORE PARKWAY                       ","            ",11214,3,0,3,2280,3261,1945,1,"C0",1380000,2016-09-08,1380000,2280,1945,0
"372",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5839,36," ","A1","6652 BERGEN PLACE                        ","            ",11220,1,0,1,2667,1372,1925,1,"A1",960000,2016-03-15,960000,2667,1925,0
"373",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5841,13," ","A1","202 WAKEMAN PLACE                        ","            ",11220,1,0,1,4080,1488,1925,1,"A1",1050000,2016-08-15,1050000,4080,1925,0
"375",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5852,22," ","A5","154 SENATOR STREET                       ","            ",11220,1,0,1,2000,2348,1915,1,"A5",1200000,2016-02-16,1200000,2000,1915,0
"376",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5852,25," ","A4","162 SENATOR STREET                       ","            ",11220,1,0,1,2000,1600,1905,1,"A4",915000,2016-02-10,915000,2000,1905,0
"377",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5852,64," ","A4","139 68TH   STREET                        ","            ",11220,1,0,1,2000,1600,1905,1,"A4",882500,2016-02-11,882500,2000,1905,0
"378",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5857,70," ","A5","633 68TH STREET                          ","            ",11220,1,0,1,2540,2144,1905,1,"A5",1030000,2016-04-28,1030000,2540,1905,0
"380",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5860,95," ","A5","94 68TH STREET                           ","            ",11220,1,0,1,3915,1254,1925,1,"A5",1011000,2016-06-17,1011000,3915,1925,0
"383",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5861,95," ","A5","6812 BAYCLIFF TERRACE                    ","            ",11220,1,0,1,1465,1567,1925,1,"A5",810000,2016-12-02,810000,1465,1925,0
"384",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5862,19," ","A5","6808 MADELINE COURT                      ","            ",11220,1,0,1,1400,1192,1925,1,"A5",890000,2016-02-11,890000,1400,1925,0
"385",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5865,13," ","A5","516 68TH STREET                          ","            ",11220,1,0,1,1700,1540,1905,1,"A5",720000,2016-06-08,720000,1700,1905,0
"388",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5871,16," ","S1","6905 RIDGE BLVD                          ","            ",11209,1,1,2,1800,1760,1931,1,"S1",750000,2016-03-23,750000,1800,1931,0
"389",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5874,38," ","A9","570 BAY RIDGE AVENUE                     ","            ",11220,1,0,1,1962,992,1920,1,"A9",819000,2016-08-03,819000,1962,1920,0
"390",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5882,55," ","A5","7019 LOUISE TERRACE                      ","            ",11209,1,0,1,945,1224,1925,1,"A5",842000,2016-03-29,842000,945,1925,0
"391",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5882,64," ","A5","73 MACKAY PLACE                          ","            ",11209,1,0,1,1900,1470,1925,1,"A5",870000,2016-01-29,870000,1900,1925,0
"392",3,"BAY RIDGE                ","01  ONE FAMILY DWELLINGS                    ","1.000000",5884,52," ","A5","93 71ST STREET                           ","            ",11209,1,0,1,1169,1142,1935,1,"A5",650000,2016-09-30,650000,1169,1935,0
